32,50,,,,,,,,
30,48,,,,,,,,
2D,45,,,,,,,,
2B,43,,,,,,,,
29,41,,,,,,,,
27,39,,,,,,,,
25,37,,,,,,,,
23,35,,,,,,,,
21,33,,,,,,,,
1F,31,,,,,,,,
1D,29,,,,,,,,
1B,27,,,,,,,,
19,25,,,,,,,,
17,23,,,,,,,,
16,22,,,,,,,,
14,20,,,,,,,,
12,18,,,,,,,,
11,17,,,,,,,,
F,15,,,,,,,,
E,14,,,,,,,,
D,13,,,,,,,,
B,11,,,,,,,,
A,10,,,,,,,,
9,9,,,,,,,,
,0,,,,,,,,
8,8,,,,,,,,
7,7,,,,,,,,
6,6,,,,,,,,
5,5,,,,,,,,
4,4,,,,,,,,
4,4,,,,,,,,
3,3,,,,,,,,
3,3,,,,,,,,
2,2,,,,,,,,
2,2,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
,0,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
2,2,,,,,,,,
2,2,,,,,,,,
3,3,,,,,,,,
3,3,,,,,,,,
4,4,,,,,,,,
4,4,,,,,,,,
5,5,,,,,,,,
6,6,,,,,,,,
7,7,,,,,,,,
8,8,,,,,,,,
9,9,,,,,,,,
A,10,,,,,,,,
,0,,,,,,,,
B,11,,,,,,,,
D,13,,,,,,,,
E,14,,,,,,,,
F,15,,,,,,,,
11,17,,,,,,,,
12,18,,,,,,,,
14,20,,,,,,,,
16,22,,,,,,,,
17,23,,,,,,,,
19,25,,,,,,,,
1B,27,,,,,,,,
1D,29,,,,,,,,
1F,31,,,,,,,,
21,33,,,,,,,,
23,35,,,,,,,,
25,37,,,,,,,,
27,39,,,,,,,,
29,41,,,,,,,,
2B,43,,,,,,,,
2D,45,,,,,,,,
30,48,,,,,,,,
32,50,,,,,,,,
